Year,Argentina,Australia,Belgium,Brazil,Canada,China,Czech Republic,Egypt,France,Germany,India,Indonesia,Iran,Italy,Japan,Kazakhstan,Malaysia,Mexico,Netherlands,Pakistan,Philippines,Poland,South Korea,Russian Federation,Saudi Arabia,South Africa,Spain,Taiwan,Thailand,Turkey,Ukraine,United Arab Emirates,United Kingdom,USA,Venezuela
1959,13,23,24,11,50,197,25,3,72,206,28,7,7,26,53,25,1,16,18,3,2,52,3,231,1,26,14,3,1,5,73,0,149,773,18
1960,13,24,25,13,53,218,27,4,81,222,30,6,10,30,63,26,1,17,20,3,2,54,3,241,1,27,13,3,1,5,76,0,159,791,16
1961,14,25,25,13,53,156,29,5,86,228,33,7,10,34,77,27,1,18,21,3,2,57,4,249,1,28,15,3,1,5,79,0,161,788,14
1962,15,26,27,15,56,125,31,5,91,241,36,6,10,40,80,28,1,17,23,4,3,59,5,261,2,29,16,4,1,6,83,0,162,817,15
1963,14,28,29,15,58,125,33,6,92,258,39,6,11,45,89,30,2,18,25,4,3,63,6,280,2,30,16,4,2,6,89,0,165,853,15
1964,15,30,28,15,65,126,34,7,101,264,38,6,13,48,98,32,2,20,26,4,3,66,6,297,2,33,18,5,2,7,94,0,166,891,15
1965,16,33,29,15,69,137,33,8,99,262,42,7,15,52,105,34,2,21,27,5,4,67,7,316,1,35,19,5,2,7,100,0,170,928,17
1966,17,33,29,18,71,150,33,7,104,260,44,6,17,58,114,36,3,22,28,5,4,69,8,333,2,35,21,5,3,9,106,0,169,975,16
1967,18,35,29,18,77,126,33,5,110,256,44,7,19,64,134,38,3,25,29,5,5,71,10,348,7,37,24,6,3,9,110,0,162,1011,18
1968,19,37,32,21,83,135,35,6,114,269,48,8,22,68,153,39,3,26,31,6,6,75,10,358,8,38,26,7,5,10,114,0,166,1048,18
1969,21,39,34,23,84,166,37,5,121,287,48,9,23,74,178,41,2,28,32,6,6,80,12,373,10,39,26,7,4,11,118,6,172,1101,19
1970,23,40,34,26,93,221,42,6,126,280,50,10,25,81,210,43,4,31,39,6,7,83,15,392,12,41,32,8,4,12,124,4,178,1184,20
1971,24,42,33,28,96,248,43,6,135,283,52,11,28,85,217,45,5,34,38,5,8,85,16,416,16,46,35,9,5,13,132,6,180,1191,17
1972,25,43,36,31,104,264,44,7,140,284,55,12,29,90,233,48,5,36,43,5,7,90,16,438,19,47,39,10,6,15,139,6,177,1248,17
1973,26,47,38,36,104,275,44,6,147,296,57,13,35,96,250,50,5,39,45,5,9,92,20,457,26,47,42,11,7,16,145,8,180,1306,18
